ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
Un,0,0,0,0,0,0,0,0,0,0,0,0,0
1,786630,0,0.4725,0.5043,0.0232,610601,0.7105,0.2895,0.0316,0.1941,0.045,0.0167,0.0014
2,786630,0,0.32,0.6575,0.0225,605498,0.9166,0.0834,0.014,0.0271,0.0152,0.0215,0.0007
3,786630,0,0.6857,0.2917,0.0225,612600,0.5782,0.4218,0.0592,0.284,0.0643,0.0182,0.0015
4,786630,0,0.3161,0.659,0.0249,598377,0.8649,0.1351,0.021,0.0581,0.0334,0.0176,0.0009
5,786630,0,0.3771,0.5938,0.029,611712,0.8589,0.1411,0.0597,0.0476,0.0138,0.0182,0.0015
6,786629,0,0.4183,0.5581,0.0236,630924,0.8629,0.1371,0.024,0.0822,0.0081,0.0178,0.0008
7,786630,0,0.4054,0.5681,0.0265,613931,0.8771,0.1229,0.0191,0.0593,0.0192,0.0193,0.0009
8,786630,0,0.3643,0.6128,0.0228,602499,0.7755,0.2245,0.0397,0.128,0.0345,0.0201,0.0015
9,786630,0,0.481,0.4904,0.0286,614128,0.7786,0.2214,0.0593,0.1256,0.0159,0.0197,0.0007
10,786630,0,0.4532,0.522,0.0248,616057,0.7352,0.2648,0.0313,0.1793,0.0312,0.0217,0.0016
11,786630,0,0.7833,0.1966,0.02,622345,0.4454,0.5546,0.0709,0.4428,0.0347,0.015,0.0013
12,786629,0,0.3496,0.6247,0.0257,607868,0.8995,0.1005,0.0173,0.0412,0.016,0.0216,0.0008
13,786630,0,0.4929,0.4841,0.023,625362,0.8136,0.1864,0.0249,0.1022,0.0384,0.016,0.0008
14,786618,0,0.4412,0.5335,0.0253,631061,0.8687,0.1313,0.0309,0.0517,0.0265,0.0162,0.0008
15,786630,0,0.4468,0.5296,0.0236,604588,0.7786,0.2214,0.0445,0.109,0.0462,0.0203,0.0011
Summary,786629,0,0.4525,0.5231,0.0244,613837,0.784,0.216,0.0365,0.1291,0.0294,0.0186,0.0011
